Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name
,,Check for existing mapit storage configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,register the deploymentconfig as a fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Add storage to mapit app,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check for deployed mapit storage configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,register the new deploymentconfig information as a fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check the volume information in the deploymentconfig ,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check for a PVC called 'mapit-storage',#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,register the pvc information as a fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,wait for pvc to be bound,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check for DeploymentConfig revision,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get pod name for latest deployment config,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Wait for pod ready,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check for directory mount,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create test file in directory mount,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,destroy the pod to test that storage is working,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get pod name for latest deployment config,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Wait for pod ready,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check for the file in the new pod,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/spantaleev/nextcloud-docker-ansible-deploy/blob/master/roles/custom/nextcloud_collabora_online/tasks/configure_collabora_app.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Fail if Collabora not enabled,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure nextcloud-apache is started,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"Wait a while, so that Nextcloud can manage to start",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check existence of Nextcloud network in Docker,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Configure Collabora app,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/ansible-network/resource_module_models/blob/master/replaced_example_01.yaml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,"""Replace module attributes of given access-groups""",,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Replaces device configuration of listed acl with provided configuration,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
https://github.com/debops/debops/blob/master/ansible/playbooks/service/roundcube.yml,,,0,0,0,1,0,0,0,0,1,0,#,#,#,#
,Install and manage Roundcube Web mail,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
,,Apply keyring configuration for php environment,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Prepare php environment,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/cjeanner/tripleo-lab/blob/master/roles/builder/tasks/libvirt.yaml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,,create overclouds range,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,common tags,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set nested KVM if wanted,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create symlink if needed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,run tasks as virt_user user,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,export LIBVIRT_DEFAULT_URI,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,export LIBGUESTFS_BACKEND,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get default network XML content,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,ensure default network is present,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,run default network,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,ensure network is active and autostart,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,load ctlplane network,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create ctlplane network,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,ensure ctlplane is active and autostart,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,centos-7,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Modern CentOS,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,are we re-deploying upon existing deploy,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, update image in-place,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Create undercloud image based on {{ base_image_name }}""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, create undercloud swap file when needed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create empty image for non-undercloud,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create overcloud swap files when needed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create OSD(s) for ceph instances if any,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, push proxy config if needed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/fgci-org/fgci-ansible/blob/master/admin_ohpc.yml,,,0,1,1,0,0,0,0,0,0,0,#,#,#,#
,Configure Admin Node,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
https://github.com/IBM/ibm-spectrum-scale-install-infra/blob/master/roles/scale_fileauditlogging/node/tasks/yum/install.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,install | Install GPFS file audit logging packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/andrewrothstein/ansible-miniconda/blob/master/subrepos/udst.ansible-conda/tests/integration/tasks/test-failures.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,install Conda packge that does not exist (expect failure),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,verify failure,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install Conda packge version that does not exist (expect failure),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,verify failure,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"install latest Conda packge, fixed at a specific version (expect failure)",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,verify failure,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/searchlight/tasks/bootstrap_service.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Running Searchlight bootstrap container,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/ibm-mas/ansible-devops/blob/master/ibm/mas_devops/roles/suite_manage_pvc_config/tasks/configure-manage-pvcs.yml,,,0,0,0,0,0,1,0,0,0,0,#,#,#,#
,,"""Debug new Manage persistent volumes definitions""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Merge Manage Persistent Volumes configurations,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Debug Manage persistent volumes definitions""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Add the Persistent Volume definitions in ManageWorkspace CR""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Debug information""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Wait for ManageWorkspace to be ready (60s delay)""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/starlingx/ansible-playbooks/blob/master/playbookconfig/src/playbooks/roles/bootstrap/store-passwd/tasks/main.yml,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,,Print warning if admin credentials are not stored in vault,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set admin username and password facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Look for password rules file,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if password rules file is missing,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get password rules,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get password rules description,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set password regex facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if password regex cannot be found,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set password regex description fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Validate admin password,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if provided admin password does not meet required complexity,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Store admin password,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set temp keyring directory fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create temp keyring directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Prefetch the keyring from the tarball,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove the unwanted directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Store service passwords,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/benregn/cookiecutter-django-ansible/blob/master/{{cookiecutter.repo_name}}/provisioning/playbooks/roles/redis/tasks/redmon.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,install Redmon dependencies,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install gems requered for Redmon,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""link {{redmon_service}} to /usr/local/bin""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/mistral/tasks/clone.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Cloning mistral source repository for development,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/debops/debops/blob/master/ansible/roles/kodi/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Ensure specified packages are in there desired state,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create Kodi system group,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create Kodi system user,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create polkit configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove polkit configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/confluentinc/cp-ansible/blob/master/playbooks/ksql.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,KSQL Status Finding,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,task1,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Populate service facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Determine Installation Pattern - Parallel or Serial,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Group Hosts by Installation Pattern,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,KSQL Parallel Provisioning,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,task1,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,KSQL Serial Provisioning,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,task1,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Proceed Prompt,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/bifrost/tasks/start.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Starting bifrost deploy container,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/redhat-openstack/ansible-role-tripleo-collect-logs/blob/master/playbooks/collect-logs.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,"Collect logs, create docs, publish",,#,#,#,#,#,#,#,#,#,#,0,0,#,#
https://github.com/michaeltchapman/networking-ansible/blob/master/tools/devenv/centos-devstack-vqfx/roles/localvm/tasks/get_image.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,ensure local image directory exists,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get local image version,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if we already have requested version,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get image metadata,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Download box,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Extract image from box,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Copy image to base images folder,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/IBM/ibm-spectrum-scale-install-infra/blob/master/roles/nfs/node/tasks/install_dir_pkg.yml,,,0,0,0,1,0,0,1,1,0,0,#,#,#,#
,,install | Stat directory installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, install | Check directory installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install| Creates default directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Stat extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Copy installation package to node,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Set installation package path,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | gpfs base path,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.smb (gpfs.smb) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.smb) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.nfs-ganesha (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.nfs-ganesha (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.nfs-ganesha-utils (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.nfs-ganesha-gpfs (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.nfs-ganesha-doc (gpfs.nfs-ganesha-doc) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.nfs-ganesha-doc) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.python-nfs-ganesha (gpfs.python-nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.python-nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.pm-ganesha (gpfs.pm-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.pm-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find gpfs.nfs-ganesha (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid GPFS (gpfs.nfs-ganesha-debuginfo) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | initialize,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | remove debuginfo from packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_upgrade_hiera/tasks/set.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,ensure tripleo-upgrade hiera file exists,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set/update the tripleo-upgrade key/value,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,write the updated tripleo-upgrade hiera data,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/ansible/ansible-examples/blob/master/lamp_haproxy/aws/roles/web/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Copy the code from repository,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/openshift/import-image/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Run `oc import-image`,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/Graylog2/graylog-ansible-role/blob/master/tasks/mongodb-Debian.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,"""APT Key should be accepted for the MongoDB repo (Ubuntu)""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Repositories should be updated (Ubuntu)""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""APT Key should be accepted for the MongoDB repo (Debian)""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Repositories should be updated (Debian)""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""MongoDB should be installed""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""MongoDB service file should be installed""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""MongoDB should be configured""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Wait for MongoDB to startup""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/IBM-Security/isam-ansible-roles/blob/master/add_cluster_node/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,, Check if Signature File Exists - {{ add_cluster_node_signature_file }},#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Add {{ inventory_hostname }} to cluster,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/redhat-openstack/ansible-nfv/blob/master/roles/images/performance/tasks/fetch_image.yml,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#
,,Fetch image from URL,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fetch image from URL,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/devopsschool-training-notes/Ansible-astrazeneca-June-2020/blob/master/james/rolesprj/project/tasks/main.yaml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Ansible register variable basic example,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install the httpd apps,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, Install the httpd apps,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,start the httpd service,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Template a file to httpd.conf.j2,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,start the httpd service,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create a empty fle,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Template a file to index.html.j2,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""shut down Debian flavored systems""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Installing .....,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"Ensure group ""deloitte"" exists",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Adding user and adding to Group Deploy,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openedx/configuration/blob/master/playbooks/roles/mysql/tasks/remove_mysql_experimental.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Stop mysql service,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove experimental apt repository,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove experimental version of mysql,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/spantaleev/matrix-docker-ansible-deploy/blob/master/roles/custom/matrix-synapse/tasks/init.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,0
,,Ensure workers are injected into various places,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if matrix-nginx-proxy role already executed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Generate synapse metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Register synapse metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Generate synapse worker metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Register synapse worker metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),#,#,#,#,#,#,#,#,#,#,#,#,0,1
https://github.com/CentOS-PaaS-SIG/linchpin/blob/master/linchpin/provision/roles/azure/tasks/provision_res_defs.yml,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#
,,"""Set azure_res_type value""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Add resource type to async_types""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""declaring async vars""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Get the resource name""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Create name using uhash value""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""provision resource type : {{ res_def['role'] }}""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/debops/ansible-nginx/blob/master/tasks/nginx_servers.yml,,,0,0,0,1,1,0,0,0,0,0,#,#,#,#
,,Create global webroot directories if allowed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create default welcome page if enabled,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, Remove nginx server configuration if requested,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get last used HTTP default_server for default_server roulette,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get last used HTTPS default_server for default_server roulette,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get HTTP server from nginx defaults for default_server roulette,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get HTTPS server from nginx defaults for default_server roulette,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get first server that listens on http port for default_server roulette,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get first server that listens on https port for default_server roulette,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Spin the HTTP default_server roulette!,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Spin the HTTPS default_server roulette!,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Generate nginx server configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Disable nginx server configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Test if Ansible is running in check mode,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Save fact if Ansible is running in check mode in variable,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Enable nginx server configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/plus-plus-service/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Ensure mod_wsgi is not installed since we're using python3,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure there are no left over of mod_wsgi,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install needed packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create all the directory for the configuration file,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install the config files,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/CenterForOpenScience/cos-ansible-base/blob/master/roles/hostname/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,ansible_hostname,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,hostname_name,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Update the hostname,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Update /etc/hosts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Run hostname cmd,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openmrs/openmrs-contrib-itsmresources/blob/master/ansible/custom_roles/mysql/tasks/replication.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Ensure replication user exists on master.,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check slave replication status.,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check master replication status.,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Configure replication on the slave,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Start replication.,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/oVirt/ovirt-ansible-collection/blob/master/roles/hosted_engine_setup/tasks/fetch_engine_logs.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Set destination directory path,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create destination directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Give the vm time to flush dirty buffers,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Copy engine logs,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Change ownership of copied engine logs,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/hortonworks/ansible-hortonworks/blob/master/playbooks/check_dynamic_blueprint.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,Check if the dynamic blueprint requested configuration is correct,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
,,Fail if there is no Ansible inventory group matching the blueprint's host_groups,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Fail if ZooKeeper is not present,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Ranger prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Ranger KMS prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Atlas prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Streamline prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Registry prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Druid HA prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Amazon Linux prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,, Fail if the selected components should not be part of an HDP 3 blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the selected components should not be part of an HDP 2 blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required HDFS components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if HA NameNode prerequisites are not met (3 JournalNodes),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if HA NameNode prerequisites are not met (ZKFC),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if SECONDARY_NAMENODE is present with multiple NAMENODE,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Yarn components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Hive components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Druid components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Accumulo components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/theforeman/forklift/blob/master/playbooks/foreman.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
